Name,Team,Position,Age,Weight,College,Salary
Nick Young,Los Angeles Lakers,SF,(31+0j),210,USC,5219169.0
Eric Bledsoe,Phoenix Suns,PG,(26+0j),190,Kentucky,13500000.0
Devin Booker,Phoenix Suns,SG,(19+0j),206,Kentucky,2127840.0
Chase Budinger,Phoenix Suns,SF,(28+0j),209,Arizona,206192.0
Tyson Chandler,Phoenix Suns,C,(33+0j),240,,13000000.0
Archie Goodwin,Phoenix Suns,SG,(21+0j),200,Kentucky,1160160.0
John Jenkins,Phoenix Suns,SG,(25+0j),215,Vanderbilt,981348.0
Brandon Knight,Phoenix Suns,PG,(24+0j),189,Kentucky,13500000.0
Alex Len,Phoenix Suns,C,(22+0j),260,Maryland,3807120.0
Jon Leuer,Phoenix Suns,PF,(27+0j),228,Wisconsin,1035000.0
Phil Pressey,Phoenix Suns,PG,(25+0j),175,Missouri,55722.0
Ronnie Price,Phoenix Suns,PG,(32+0j),190,Utah Valley,947276.0
Mirza Teletovic,Phoenix Suns,PF,(30+0j),242,,5500000.0
P.J. Tucker,Phoenix Suns,SF,(31+0j),245,Texas,5500000.0
T.J. Warren,Phoenix Suns,SF,(22+0j),230,North Carolina State,2041080.0
Alan Williams,Phoenix Suns,C,(23+0j),260,UC Santa Barbara,83397.0
Quincy Acy,Sacramento Kings,SF,(25+0j),240,Baylor,981348.0
James Anderson,Sacramento Kings,SG,(27+0j),213,Oklahoma State,1015421.0
Marco Belinelli,Sacramento Kings,SG,(30+0j),210,,6060606.0
Caron Butler,Sacramento Kings,SF,(36+0j),228,Connecticut,1449187.0
Omri Casspi,Sacramento Kings,SF,(27+0j),225,,2836186.0
Willie Cauley-Stein,Sacramento Kings,C,(22+0j),240,Kentucky,3398280.0
Darren Collison,Sacramento Kings,PG,(28+0j),175,UCLA,5013559.0
DeMarcus Cousins,Sacramento Kings,C,(25+0j),270,Kentucky,15851950.0
Seth Curry,Sacramento Kings,SG,(25+0j),185,Duke,947276.0
Duje Dukan,Sacramento Kings,PF,(24+0j),220,Wisconsin,525093.0
Rudy Gay,Sacramento Kings,SF,(29+0j),230,Connecticut,12403101.0
Kosta Koufos,Sacramento Kings,C,(27+0j),265,Ohio State,7700000.0
Ben McLemore,Sacramento Kings,SG,(23+0j),195,Kansas,3156600.0
Eric Moreland,Sacramento Kings,PF,(24+0j),238,Oregon State,845059.0
Rajon Rondo,Sacramento Kings,PG,(30+0j),186,Kentucky,9500000.0
Cameron Bairstow,Chicago Bulls,PF,(25+0j),250,New Mexico,845059.0
Aaron Brooks,Chicago Bulls,PG,(31+0j),161,Oregon,2250000.0
Jimmy Butler,Chicago Bulls,SG,(26+0j),220,Marquette,16407500.0
Mike Dunleavy,Chicago Bulls,SG,(35+0j),230,Duke,4500000.0
Cristiano Felicio,Chicago Bulls,PF,(23+0j),275,,525093.0
Pau Gasol,Chicago Bulls,C,(35+0j),250,,7448760.0
Taj Gibson,Chicago Bulls,PF,(30+0j),225,USC,8500000.0
Justin Holiday,Chicago Bulls,SG,(27+0j),185,Washington,947276.0
Doug McDermott,Chicago Bulls,SF,(24+0j),225,Creighton,2380440.0
Nikola Mirotic,Chicago Bulls,PF,(25+0j),220,,5543725.0
E'Twaun Moore,Chicago Bulls,SG,(27+0j),191,Purdue,1015421.0
Joakim Noah,Chicago Bulls,C,(31+0j),232,Florida,13400000.0
Bobby Portis,Chicago Bulls,PF,(21+0j),230,Arkansas,1391160.0
Derrick Rose,Chicago Bulls,PG,(27+0j),190,Memphis,20093064.0
Tony Snell,Chicago Bulls,SF,(24+0j),200,New Mexico,1535880.0
Matthew Dellavedova,Cleveland Cavaliers,PG,(25+0j),198,Saint Mary's,1147276.0
Channing Frye,Cleveland Cavaliers,PF,(33+0j),255,Arizona,8193029.0
Kyrie Irving,Cleveland Cavaliers,PG,(24+0j),193,Duke,16407501.0
LeBron James,Cleveland Cavaliers,SF,(31+0j),250,,22970500.0
Richard Jefferson,Cleveland Cavaliers,SF,(35+0j),233,Arizona,947276.0
Dahntay Jones,Cleveland Cavaliers,SG,(35+0j),225,Duke,
James Jones,Cleveland Cavaliers,SG,(35+0j),218,Miami (FL),947276.0
Sasha Kaun,Cleveland Cavaliers,C,(31+0j),260,Kansas,1276000.0
Kevin Love,Cleveland Cavaliers,PF,(27+0j),251,UCLA,19689000.0
Jordan McRae,Cleveland Cavaliers,SG,(25+0j),179,Tennessee,111196.0
Timofey Mozgov,Cleveland Cavaliers,C,(29+0j),275,,4950000.0
Iman Shumpert,Cleveland Cavaliers,SG,(25+0j),220,Georgia Tech,8988765.0
J.R. Smith,Cleveland Cavaliers,SG,(30+0j),225,,5000000.0
Tristan Thompson,Cleveland Cavaliers,C,(25+0j),238,Texas,14260870.0
Mo Williams,Cleveland Cavaliers,PG,(33+0j),198,Alabama,2100000.0
Joel Anthony,Detroit Pistons,C,(33+0j),245,UNLV,2500000.0
Aron Baynes,Detroit Pistons,C,(29+0j),260,Washington State,6500000.0
Steve Blake,Detroit Pistons,PG,(36+0j),172,Maryland,2170465.0
Lorenzo Brown,Detroit Pistons,PG,(25+0j),189,North Carolina State,111444.0
Reggie Bullock,Detroit Pistons,SF,(25+0j),205,North Carolina,1252440.0
Kentavious Caldwell-Pope,Detroit Pistons,SG,(23+0j),205,Georgia,2891760.0
Spencer Dinwiddie,Detroit Pistons,PG,(23+0j),200,Colorado,845059.0
Andre Drummond,Detroit Pistons,C,(22+0j),279,Connecticut,3272091.0
Tobias Harris,Detroit Pistons,SF,(23+0j),235,Tennessee,16000000.0
Darrun Hilliard,Detroit Pistons,SF,(23+0j),205,Villanova,600000.0
Reggie Jackson,Detroit Pistons,PG,(26+0j),208,Boston College,13913044.0
Stanley Johnson,Detroit Pistons,SF,(20+0j),245,Arizona,2841960.0
Jodie Meeks,Detroit Pistons,SG,(28+0j),210,Kentucky,6270000.0
Marcus Morris,Detroit Pistons,PF,(26+0j),235,Kansas,5000000.0
Anthony Tolliver,Detroit Pistons,PF,(31+0j),240,Creighton,3000000.0
Lavoy Allen,Indiana Pacers,PF,(27+0j),255,Temple,4050000.0
Rakeem Christmas,Indiana Pacers,PF,(24+0j),250,Syracuse,1007026.0
Monta Ellis,Indiana Pacers,SG,(30+0j),185,,10300000.0
Paul George,Indiana Pacers,SF,(26+0j),220,Fresno State,17120106.0
George Hill,Indiana Pacers,PG,(30+0j),188,IUPUI,8000000.0
Jordan Hill,Indiana Pacers,C,(28+0j),235,Arizona,4000000.0
Solomon Hill,Indiana Pacers,SF,(25+0j),225,Arizona,1358880.0
Ty Lawson,Indiana Pacers,PG,(28+0j),195,North Carolina,211744.0
Ian Mahinmi,Indiana Pacers,C,(29+0j),250,,4000000.0
C.J. Miles,Indiana Pacers,SF,(29+0j),231,,4394225.0
Glenn Robinson III,Indiana Pacers,SG,(22+0j),222,Michigan,1100000.0
Rodney Stuckey,Indiana Pacers,PG,(30+0j),205,Eastern Washington,7000000.0
Myles Turner,Indiana Pacers,PF,(20+0j),243,Texas,2357760.0
Shayne Whittington,Indiana Pacers,PF,(25+0j),250,Western Michigan,845059.0
Joe Young,Indiana Pacers,PG,(23+0j),180,Oregon,1007026.0
Giannis Antetokounmpo,Milwaukee Bucks,SF,(21+0j),222,,1953960.0
Jerryd Bayless,Milwaukee Bucks,PG,(27+0j),200,Arizona,3000000.0
Michael Carter-Williams,Milwaukee Bucks,PG,(24+0j),190,Syracuse,2399040.0
Jared Cunningham,Milwaukee Bucks,SG,(25+0j),195,Oregon State,947276.0
Tyler Ennis,Milwaukee Bucks,PG,(21+0j),194,Syracuse,1662360.0
John Henson,Milwaukee Bucks,PF,(25+0j),229,North Carolina,2943221.0
Damien Inglis,Milwaukee Bucks,SF,(21+0j),246,,855000.0
O.J. Mayo,Milwaukee Bucks,SG,(28+0j),210,USC,8000000.0
Khris Middleton,Milwaukee Bucks,SG,(24+0j),234,Texas A&M,14700000.0
Greg Monroe,Milwaukee Bucks,C,(26+0j),265,Georgetown,16407500.0
Steve Novak,Milwaukee Bucks,SF,(32+0j),225,Marquette,295327.0
Johnny O'Bryant III,Milwaukee Bucks,PF,(23+0j),257,LSU,845059.0
Jabari Parker,Milwaukee Bucks,PF,(21+0j),250,Duke,5152440.0
Miles Plumlee,Milwaukee Bucks,C,(27+0j),249,Duke,2109294.0
Greivis Vasquez,Milwaukee Bucks,PG,(29+0j),217,Maryland,6600000.0
Rashad Vaughn,Milwaukee Bucks,SG,(19+0j),202,UNLV,1733040.0
Justin Anderson,Dallas Mavericks,SG,(22+0j),228,Virginia,1449000.0
J.J. Barea,Dallas Mavericks,PG,(31+0j),185,Northeastern,4290000.0
Jeremy Evans,Dallas Mavericks,SF,(28+0j),200,Western Kentucky,1100602.0
Raymond Felton,Dallas Mavericks,PG,(31+0j),205,North Carolina,3950313.0
Devin Harris,Dallas Mavericks,PG,(33+0j),185,Wisconsin,4053446.0
David Lee,Dallas Mavericks,PF,(33+0j),245,Florida,2085671.0
Wesley Matthews,Dallas Mavericks,SG,(29+0j),220,Marquette,16407500.0
JaVale McGee,Dallas Mavericks,C,(28+0j),270,Nevada,1270964.0
Salah Mejri,Dallas Mavericks,C,(29+0j),245,,525093.0
Dirk Nowitzki,Dallas Mavericks,PF,(37+0j),245,,8333334.0
Zaza Pachulia,Dallas Mavericks,C,(32+0j),275,,5200000.0
Chandler Parsons,Dallas Mavericks,SF,(27+0j),230,Florida,15361500.0
Dwight Powell,Dallas Mavericks,PF,(24+0j),240,Stanford,845059.0
Charlie Villanueva,Dallas Mavericks,PF,(31+0j),232,Connecticut,947276.0
Deron Williams,Dallas Mavericks,PG,(31+0j),200,Illinois,5378974.0
Trevor Ariza,Houston Rockets,SF,(30+0j),215,UCLA,8193030.0
Michael Beasley,Houston Rockets,SF,(27+0j),235,Kansas State,306527.0
Patrick Beverley,Houston Rockets,PG,(27+0j),185,Arkansas,6486486.0
Corey Brewer,Houston Rockets,SG,(30+0j),186,Florida,8229375.0
Clint Capela,Houston Rockets,PF,(22+0j),240,,1242720.0
Sam Dekker,Houston Rockets,SF,(22+0j),230,Wisconsin,1646400.0
Andrew Goudelock,Houston Rockets,PG,(27+0j),200,Charleston,200600.0
James Harden,Houston Rockets,SG,(26+0j),220,Arizona State,15756438.0
Montrezl Harrell,Houston Rockets,PF,(22+0j),240,Louisville,1000000.0
Dwight Howard,Houston Rockets,C,(30+0j),265,,22359364.0
Terrence Jones,Houston Rockets,PF,(24+0j),252,Kentucky,2489530.0
K.J. McDaniels,Houston Rockets,SG,(23+0j),205,Clemson,3189794.0
Donatas Motiejunas,Houston Rockets,PF,(25+0j),222,,2288205.0
Josh Smith,Houston Rockets,C,(30+0j),225,,947276.0
Jason Terry,Houston Rockets,SG,(38+0j),185,Arizona,947276.0
Jordan Adams,Memphis Grizzlies,SG,(21+0j),209,UCLA,1404600.0
Tony Allen,Memphis Grizzlies,SG,(34+0j),213,Oklahoma State,5158539.0
Chris Andersen,Memphis Grizzlies,PF,(37+0j),245,Blinn College,5000000.0
Matt Barnes,Memphis Grizzlies,SF,(36+0j),226,UCLA,3542500.0
Vince Carter,Memphis Grizzlies,SG,(39+0j),220,North Carolina,4088019.0
Mike Conley,Memphis Grizzlies,PG,(28+0j),175,Ohio State,9588426.0
Bryce Cotton,Memphis Grizzlies,PG,(23+0j),165,Providence,700902.0
Jordan Farmar,Memphis Grizzlies,PG,(29+0j),180,UCLA,
Marc Gasol,Memphis Grizzlies,C,(31+0j),255,,19688000.0
JaMychal Green,Memphis Grizzlies,PF,(25+0j),227,Alabama,845059.0
P.J. Hairston,Memphis Grizzlies,SF,(23+0j),230,North Carolina,1201440.0
Jarell Martin,Memphis Grizzlies,PF,(22+0j),239,LSU,1230840.0
Ray McCallum,Memphis Grizzlies,PG,(24+0j),190,Detroit,
Xavier Munford,Memphis Grizzlies,PG,(24+0j),180,Rhode Island,
Zach Randolph,Memphis Grizzlies,PF,(34+0j),260,Michigan State,9638555.0
Lance Stephenson,Memphis Grizzlies,SF,(25+0j),230,Cincinnati,9000000.0
Alex Stepheson,Memphis Grizzlies,PF,(28+0j),270,USC,
Brandan Wright,Memphis Grizzlies,PF,(28+0j),210,North Carolina,5464000.0
Alexis Ajinca,New Orleans Pelicans,C,(28+0j),248,,4389607.0
Ryan Anderson,New Orleans Pelicans,PF,(28+0j),240,California,8500000.0
Omer Asik,New Orleans Pelicans,C,(29+0j),255,,9213483.0
Luke Babbitt,New Orleans Pelicans,SF,(26+0j),225,Nevada,1100602.0
Norris Cole,New Orleans Pelicans,PG,(27+0j),175,Cleveland State,3036927.0
Dante Cunningham,New Orleans Pelicans,PF,(29+0j),230,Villanova,2850000.0
Anthony Davis,New Orleans Pelicans,PF,(23+0j),253,Kentucky,7070730.0
Bryce Dejean-Jones,New Orleans Pelicans,SG,(23+0j),203,Iowa State,169883.0
Toney Douglas,New Orleans Pelicans,PG,(30+0j),195,Florida State,1164858.0
James Ennis,New Orleans Pelicans,SF,(25+0j),210,Long Beach State,845059.0
Tyreke Evans,New Orleans Pelicans,SG,(26+0j),220,Memphis,10734586.0
Tim Frazier,New Orleans Pelicans,PG,(25+0j),170,Penn State,845059.0
Alonzo Gee,New Orleans Pelicans,SF,(29+0j),225,Alabama,1320000.0
Eric Gordon,New Orleans Pelicans,SG,(27+0j),215,Indiana,15514031.0
Jordan Hamilton,New Orleans Pelicans,SG,(25+0j),220,Texas,1015421.0
Jrue Holiday,New Orleans Pelicans,PG,(25+0j),205,UCLA,10595507.0
Orlando Johnson,New Orleans Pelicans,SG,(27+0j),220,UC Santa Barbara,55722.0
Kendrick Perkins,New Orleans Pelicans,C,(31+0j),270,,947276.0
Quincy Pondexter,New Orleans Pelicans,SF,(28+0j),220,Washington,3382023.0
LaMarcus Aldridge,San Antonio Spurs,PF,(30+0j),240,Texas,19689000.0
Kyle Anderson,San Antonio Spurs,SF,(22+0j),230,UCLA,1142880.0
Matt Bonner,San Antonio Spurs,C,(36+0j),235,Florida,947276.0
Boris Diaw,San Antonio Spurs,C,(34+0j),250,,7500000.0
Tim Duncan,San Antonio Spurs,C,(40+0j),250,Wake Forest,5250000.0
Manu Ginobili,San Antonio Spurs,SG,(38+0j),205,,2814000.0
Danny Green,San Antonio Spurs,SG,(28+0j),215,North Carolina,10000000.0
Kawhi Leonard,San Antonio Spurs,SF,(24+0j),230,San Diego State,16407500.0
Boban Marjanovic,San Antonio Spurs,C,(27+0j),290,,1200000.0
Kevin Martin,San Antonio Spurs,SG,(33+0j),199,Western Carolina,200600.0
Andre Miller,San Antonio Spurs,PG,(40+0j),200,Utah,250750.0
Patty Mills,San Antonio Spurs,PG,(27+0j),185,Saint Mary's,3578947.0
Tony Parker,San Antonio Spurs,PG,(34+0j),185,,13437500.0
Jonathon Simmons,San Antonio Spurs,SG,(26+0j),195,Houston,525093.0
David West,San Antonio Spurs,PF,(35+0j),250,Xavier,1499187.0
Kent Bazemore,Atlanta Hawks,SF,(26+0j),201,Old Dominion,2000000.0
Tim Hardaway Jr.,Atlanta Hawks,SG,(24+0j),205,Michigan,1304520.0
Kirk Hinrich,Atlanta Hawks,SG,(35+0j),190,Kansas,2854940.0
Al Horford,Atlanta Hawks,C,(30+0j),245,Florida,12000000.0
Kris Humphries,Atlanta Hawks,PF,(31+0j),235,Minnesota,1000000.0
Kyle Korver,Atlanta Hawks,SG,(35+0j),212,Creighton,5746479.0
Paul Millsap,Atlanta Hawks,PF,(31+0j),246,Louisiana Tech,18671659.0
Mike Muscala,Atlanta Hawks,PF,(24+0j),240,Bucknell,947276.0
Lamar Patterson,Atlanta Hawks,SG,(24+0j),225,Pittsburgh,525093.0
Dennis Schroder,Atlanta Hawks,PG,(22+0j),172,,1763400.0
Mike Scott,Atlanta Hawks,PF,(27+0j),237,Virginia,3333333.0
Thabo Sefolosha,Atlanta Hawks,SF,(32+0j),220,,4000000.0
Tiago Splitter,Atlanta Hawks,C,(31+0j),245,,9756250.0
Walter Tavares,Atlanta Hawks,C,(24+0j),260,,1000000.0
Jeff Teague,Atlanta Hawks,PG,(27+0j),186,Wake Forest,8000000.0
Nicolas Batum,Charlotte Hornets,SG,(27+0j),200,,13125306.0
Troy Daniels,Charlotte Hornets,SG,(24+0j),205,Virginia Commonwealth,947276.0
Jorge Gutierrez,Charlotte Hornets,PG,(27+0j),189,California,189455.0
Tyler Hansbrough,Charlotte Hornets,PF,(30+0j),250,North Carolina,947276.0
Aaron Harrison,Charlotte Hornets,SG,(21+0j),210,Kentucky,525093.0
Spencer Hawes,Charlotte Hornets,PF,(28+0j),245,Washington,6110034.0
Al Jefferson,Charlotte Hornets,C,(31+0j),289,,13500000.0
Frank Kaminsky III,Charlotte Hornets,C,(23+0j),240,Wisconsin,2612520.0
Michael Kidd-Gilchrist,Charlotte Hornets,SF,(22+0j),232,Kentucky,6331404.0
Jeremy Lamb,Charlotte Hornets,SG,(24+0j),185,Connecticut,3034356.0
Courtney Lee,Charlotte Hornets,SG,(30+0j),200,Western Kentucky,5675000.0
Jeremy Lin,Charlotte Hornets,PG,(27+0j),200,Harvard,2139000.0
Kemba Walker,Charlotte Hornets,PG,(26+0j),184,Connecticut,12000000.0
Marvin Williams,Charlotte Hornets,PF,(29+0j),237,North Carolina,7000000.0
Cody Zeller,Charlotte Hornets,C,(23+0j),240,Indiana,4204200.0
Chris Bosh,Miami Heat,PF,(32+0j),235,Georgia Tech,22192730.0
Luol Deng,Miami Heat,SF,(31+0j),220,Duke,10151612.0
Goran Dragic,Miami Heat,PG,(30+0j),190,,14783000.0
Gerald Green,Miami Heat,SF,(30+0j),205,,947276.0
Udonis Haslem,Miami Heat,PF,(36+0j),235,Florida,2854940.0
Joe Johnson,Miami Heat,SF,(34+0j),240,Arkansas,261894.0
Tyler Johnson,Miami Heat,SG,(24+0j),186,Fresno State,845059.0
Josh McRoberts,Miami Heat,PF,(29+0j),240,Duke,5543725.0
Josh Richardson,Miami Heat,SG,(22+0j),200,Tennessee,525093.0
Amar'e Stoudemire,Miami Heat,PF,(33+0j),245,,947276.0
Dwyane Wade,Miami Heat,SG,(34+0j),220,Marquette,20000000.0
Briante Weber,Miami Heat,PG,(23+0j),165,Virginia Commonwealth,
Hassan Whiteside,Miami Heat,C,(26+0j),265,Marshall,981348.0
Justise Winslow,Miami Heat,SF,(20+0j),225,Duke,2481720.0
